,MeasureReport ID,Measure,Updated,Subject,Reporter,Period Start,Period End,positiveIncreasePercent,positiveIncreasePercentUnit,totalOrdersIncrease,totalTestResultsIncrease,positiveIncrease,positivePercent,positivePercentUnit,totalOrders,rejected,totalTestResults,positive,allReports,latestReports
17,830,http://hl7.org/fhir/uv/saner/Measure/FEMADailyHospitalCOVID19Reporting,2023-01-05T20:26:07.403+00:00,State of New Jersey,New Jersey Department of Public Health,2020-04-06,2020-04-06,52.21,%,,6866,3585,46.15,%,,,89032,41090,,
18,1242,http://hl7.org/fhir/uv/saner/Measure/FEMADailyHospitalCOVID19Reporting,2023-01-05T20:26:07.403+00:00,State of New Jersey,New Jersey Department of Public Health,2020-04-06,2020-04-06,52.21,%,,6866,3585,46.15,%,,,89032,41090,,
19,212,http://hl7.org/fhir/uv/saner/Measure/FEMADailyHospitalCOVID19Reporting,2023-01-05T20:26:07.403+00:00,State of New Jersey,New Jersey Department of Public Health,2020-04-06,2020-04-06,52.21,%,,6866,3585,46.15,%,,,89032,41090,,
20,6,http://hl7.org/fhir/uv/saner/Measure/FEMADailyHospitalCOVID19Reporting,2023-01-05T20:26:07.403+00:00,State of New Jersey,New Jersey Department of Public Health,2020-04-06,2020-04-06,52.21,%,,6866,3585,46.15,%,,,89032,41090,,
21,1448,http://hl7.org/fhir/uv/saner/Measure/FEMADailyHospitalCOVID19Reporting,2023-01-05T20:26:07.403+00:00,State of New Jersey,New Jersey Department of Public Health,2020-04-06,2020-04-06,52.21,%,,6866,3585,46.15,%,,,89032,41090,,
22,1036,http://hl7.org/fhir/uv/saner/Measure/FEMADailyHospitalCOVID19Reporting,2023-01-05T20:26:07.403+00:00,State of New Jersey,New Jersey Department of Public Health,2020-04-06,2020-04-06,52.21,%,,6866,3585,46.15,%,,,89032,41090,,
23,418,http://hl7.org/fhir/uv/saner/Measure/FEMADailyHospitalCOVID19Reporting,2023-01-05T20:26:07.403+00:00,State of New Jersey,New Jersey Department of Public Health,2020-04-06,2020-04-06,52.21,%,,6866,3585,46.15,%,,,89032,41090,,
24,832,http://hl7.org/fhir/uv/saner/Measure/FEMADailyHospitalCOVID19Reporting,2023-01-05T20:26:07.403+00:00,State of New Jersey,New Jersey Department of Public Health,2020-04-07,2020-04-07,55.97,%,,5942,3326,46.77,%,,,94974,44416,,
25,8,http://hl7.org/fhir/uv/saner/Measure/FEMADailyHospitalCOVID19Reporting,2023-01-05T20:26:07.403+00:00,State of New Jersey,New Jersey Department of Public Health,2020-04-07,2020-04-07,55.97,%,,5942,3326,46.77,%,,,94974,44416,,
26,1450,http://hl7.org/fhir/uv/saner/Measure/FEMADailyHospitalCOVID19Reporting,2023-01-05T20:26:07.403+00:00,State of New Jersey,New Jersey Department of Public Health,2020-04-07,2020-04-07,55.97,%,,5942,3326,46.77,%,,,94974,44416,,
27,1244,http://hl7.org/fhir/uv/saner/Measure/FEMADailyHospitalCOVID19Reporting,2023-01-05T20:26:07.403+00:00,State of New Jersey,New Jersey Department of Public Health,2020-04-07,2020-04-07,55.97,%,,5942,3326,46.77,%,,,94974,44416,,
28,1038,http://hl7.org/fhir/uv/saner/Measure/FEMADailyHospitalCOVID19Reporting,2023-01-05T20:26:07.403+00:00,State of New Jersey,New Jersey Department of Public Health,2020-04-07,2020-04-07,55.97,%,,5942,3326,46.77,%,,,94974,44416,,
29,214,http://hl7.org/fhir/uv/saner/Measure/FEMADailyHospitalCOVID19Reporting,2023-01-05T20:26:07.403+00:00,State of New Jersey,New Jersey Department of Public Health,2020-04-07,2020-04-07,55.97,%,,5942,3326,46.77,%,,,94974,44416,,
30,420,http://hl7.org/fhir/uv/saner/Measure/FEMADailyHospitalCOVID19Reporting,2023-01-05T20:26:07.403+00:00,State of New Jersey,New Jersey Department of Public Health,2020-04-07,2020-04-07,55.97,%,,5942,3326,46.77,%,,,94974,44416,,
31,626,http://hl7.org/fhir/uv/saner/Measure/FEMADailyHospitalCOVID19Reporting,2023-01-05T20:26:07.403+00:00,State of New Jersey,New Jersey Department of Public Health,2020-04-07,2020-04-07,55.97,%,,5942,3326,46.77,%,,,94974,44416,,
32,10,http://hl7.org/fhir/uv/saner/Measure/FEMADailyHospitalCOVID19Reporting,2023-01-05T20:26:07.403+00:00,State of New Jersey,New Jersey Department of Public Health,2020-04-08,2020-04-08,55.51,%,,5442,3021,47.24,%,,,100416,47437,,
33,1246,http://hl7.org/fhir/uv/saner/Measure/FEMADailyHospitalCOVID19Reporting,2023-01-05T20:26:07.403+00:00,State of New Jersey,New Jersey Department of Public Health,2020-04-08,2020-04-08,55.51,%,,5442,3021,47.24,%,,,100416,47437,,
34,1452,http://hl7.org/fhir/uv/saner/Measure/FEMADailyHospitalCOVID19Reporting,2023-01-05T20:26:07.403+00:00,State of New Jersey,New Jersey Department of Public Health,2020-04-08,2020-04-08,55.51,%,,5442,3021,47.24,%,,,100416,47437,,
35,422,http://hl7.org/fhir/uv/saner/Measure/FEMADailyHospitalCOVID19Reporting,2023-01-05T20:26:07.403+00:00,State of New Jersey,New Jersey Department of Public Health,2020-04-08,2020-04-08,55.51,%,,5442,3021,47.24,%,,,100416,47437,,
36,1040,http://hl7.org/fhir/uv/saner/Measure/FEMADailyHospitalCOVID19Reporting,2023-01-05T20:26:07.403+00:00,State of New Jersey,New Jersey Department of Public Health,2020-04-08,2020-04-08,55.51,%,,5442,3021,47.24,%,,,100416,47437,,
37,834,http://hl7.org/fhir/uv/saner/Measure/FEMADailyHospitalCOVID19Reporting,2023-01-05T20:26:07.403+00:00,State of New Jersey,New Jersey Department of Public Health,2020-04-08,2020-04-08,55.51,%,,5442,3021,47.24,%,,,100416,47437,,
38,628,http://hl7.org/fhir/uv/saner/Measure/FEMADailyHospitalCOVID19Reporting,2023-01-05T20:26:07.403+00:00,State of New Jersey,New Jersey Department of Public Health,2020-04-08,2020-04-08,55.51,%,,5442,3021,47.24,%,,,100416,47437,,
39,216,http://hl7.org/fhir/uv/saner/Measure/FEMADailyHospitalCOVID19Reporting,2023-01-05T20:26:07.403+00:00,State of New Jersey,New Jersey Department of Public Health,2020-04-08,2020-04-08,55.51,%,,5442,3021,47.24,%,,,100416,47437,,
40,836,http://hl7.org/fhir/uv/saner/Measure/FEMADailyHospitalCOVID19Reporting,2023-01-05T20:26:07.403+00:00,State of New Jersey,New Jersey Department of Public Health,2020-04-09,2020-04-09,52.98,%,,6776,3590,47.6,%,,,107192,51027,,
41,1248,http://hl7.org/fhir/uv/saner/Measure/FEMADailyHospitalCOVID19Reporting,2023-01-05T20:26:07.403+00:00,State of New Jersey,New Jersey Department of Public Health,2020-04-09,2020-04-09,52.98,%,,6776,3590,47.6,%,,,107192,51027,,
42,218,http://hl7.org/fhir/uv/saner/Measure/FEMADailyHospitalCOVID19Reporting,2023-01-05T20:26:07.403+00:00,State of New Jersey,New Jersey Department of Public Health,2020-04-09,2020-04-09,52.98,%,,6776,3590,47.6,%,,,107192,51027,,
43,630,http://hl7.org/fhir/uv/saner/Measure/FEMADailyHospitalCOVID19Reporting,2023-01-05T20:26:07.403+00:00,State of New Jersey,New Jersey Department of Public Health,2020-04-09,2020-04-09,52.98,%,,6776,3590,47.6,%,,,107192,51027,,
44,12,http://hl7.org/fhir/uv/saner/Measure/FEMADailyHospitalCOVID19Reporting,2023-01-05T20:26:07.403+00:00,State of New Jersey,New Jersey Department of Public Health,2020-04-09,2020-04-09,52.98,%,,6776,3590,47.6,%,,,107192,51027,,
45,1042,http://hl7.org/fhir/uv/saner/Measure/FEMADailyHospitalCOVID19Reporting,2023-01-05T20:26:07.403+00:00,State of New Jersey,New Jersey Department of Public Health,2020-04-09,2020-04-09,52.98,%,,6776,3590,47.6,%,,,107192,51027,,
46,1454,http://hl7.org/fhir/uv/saner/Measure/FEMADailyHospitalCOVID19Reporting,2023-01-05T20:26:07.403+00:00,State of New Jersey,New Jersey Department of Public Health,2020-04-09,2020-04-09,52.98,%,,6776,3590,47.6,%,,,107192,51027,,
47,424,http://hl7.org/fhir/uv/saner/Measure/FEMADailyHospitalCOVID19Reporting,2023-01-05T20:26:07.403+00:00,State of New Jersey,New Jersey Department of Public Health,2020-04-09,2020-04-09,52.98,%,,6776,3590,47.6,%,,,107192,51027,,
48,426,http://hl7.org/fhir/uv/saner/Measure/FEMADailyHospitalCOVID19Reporting,2023-01-05T20:26:07.403+00:00,State of New Jersey,New Jersey Department of Public Health,2020-04-10,2020-04-10,56.25,%,,6331,3561,48.09,%,,,113523,54588,,
49,838,http://hl7.org/fhir/uv/saner/Measure/FEMADailyHospitalCOVID19Reporting,2023-01-05T20:26:07.403+00:00,State of New Jersey,New Jersey Department of Public Health,2020-04-10,2020-04-10,56.25,%,,6331,3561,48.09,%,,,113523,54588,,
50,14,http://hl7.org/fhir/uv/saner/Measure/FEMADailyHospitalCOVID19Reporting,2023-01-05T20:26:07.403+00:00,State of New Jersey,New Jersey Department of Public Health,2020-04-10,2020-04-10,56.25,%,,6331,3561,48.09,%,,,113523,54588,,
51,1456,http://hl7.org/fhir/uv/saner/Measure/FEMADailyHospitalCOVID19Reporting,2023-01-05T20:26:07.403+00:00,State of New Jersey,New Jersey Department of Public Health,2020-04-10,2020-04-10,56.25,%,,6331,3561,48.09,%,,,113523,54588,,
52,1250,http://hl7.org/fhir/uv/saner/Measure/FEMADailyHospitalCOVID19Reporting,2023-01-05T20:26:07.403+00:00,State of New Jersey,New Jersey Department of Public Health,2020-04-10,2020-04-10,56.25,%,,6331,3561,48.09,%,,,113523,54588,,
53,220,http://hl7.org/fhir/uv/saner/Measure/FEMADailyHospitalCOVID19Reporting,2023-01-05T20:26:07.403+00:00,State of New Jersey,New Jersey Department of Public Health,2020-04-10,2020-04-10,56.25,%,,6331,3561,48.09,%,,,113523,54588,,
54,1044,http://hl7.org/fhir/uv/saner/Measure/FEMADailyHospitalCOVID19Reporting,2023-01-05T20:26:07.403+00:00,State of New Jersey,New Jersey Department of Public Health,2020-04-10,2020-04-10,56.25,%,,6331,3561,48.09,%,,,113523,54588,,
55,632,http://hl7.org/fhir/uv/saner/Measure/FEMADailyHospitalCOVID19Reporting,2023-01-05T20:26:07.403+00:00,State of New Jersey,New Jersey Department of Public Health,2020-04-10,2020-04-10,56.25,%,,6331,3561,48.09,%,,,113523,54588,,
56,1046,http://hl7.org/fhir/uv/saner/Measure/FEMADailyHospitalCOVID19Reporting,2023-01-05T20:26:07.403+00:00,State of New Jersey,New Jersey Department of Public Health,2020-04-11,2020-04-11,53.42,%,,6670,3563,48.38,%,,,120193,58151,,
57,634,http://hl7.org/fhir/uv/saner/Measure/FEMADailyHospitalCOVID19Reporting,2023-01-05T20:26:07.403+00:00,State of New Jersey,New Jersey Department of Public Health,2020-04-11,2020-04-11,53.42,%,,6670,3563,48.38,%,,,120193,58151,,
58,1458,http://hl7.org/fhir/uv/saner/Measure/FEMADailyHospitalCOVID19Reporting,2023-01-05T20:26:07.403+00:00,State of New Jersey,New Jersey Department of Public Health,2020-04-11,2020-04-11,53.42,%,,6670,3563,48.38,%,,,120193,58151,,
59,428,http://hl7.org/fhir/uv/saner/Measure/FEMADailyHospitalCOVID19Reporting,2023-01-05T20:26:07.403+00:00,State of New Jersey,New Jersey Department of Public Health,2020-04-11,2020-04-11,53.42,%,,6670,3563,48.38,%,,,120193,58151,,
60,840,http://hl7.org/fhir/uv/saner/Measure/FEMADailyHospitalCOVID19Reporting,2023-01-05T20:26:07.403+00:00,State of New Jersey,New Jersey Department of Public Health,2020-04-11,2020-04-11,53.42,%,,6670,3563,48.38,%,,,120193,58151,,
61,1252,http://hl7.org/fhir/uv/saner/Measure/FEMADailyHospitalCOVID19Reporting,2023-01-05T20:26:07.403+00:00,State of New Jersey,New Jersey Department of Public Health,2020-04-11,2020-04-11,53.42,%,,6670,3563,48.38,%,,,120193,58151,,
62,222,http://hl7.org/fhir/uv/saner/Measure/FEMADailyHospitalCOVID19Reporting,2023-01-05T20:26:07.403+00:00,State of New Jersey,New Jersey Department of Public Health,2020-04-11,2020-04-11,53.42,%,,6670,3563,48.38,%,,,120193,58151,,
63,16,http://hl7.org/fhir/uv/saner/Measure/FEMADailyHospitalCOVID19Reporting,2023-01-05T20:26:07.403+00:00,State of New Jersey,New Jersey Department of Public Health,2020-04-11,2020-04-11,53.42,%,,6670,3563,48.38,%,,,120193,58151,,
64,1460,http://hl7.org/fhir/uv/saner/Measure/FEMADailyHospitalCOVID19Reporting,2023-01-05T20:26:07.403+00:00,State of New Jersey,New Jersey Department of Public Health,2020-04-12,2020-04-12,56.54,%,,6542,3699,48.8,%,,,126735,61850,,
65,224,http://hl7.org/fhir/uv/saner/Measure/FEMADailyHospitalCOVID19Reporting,2023-01-05T20:26:07.403+00:00,State of New Jersey,New Jersey Department of Public Health,2020-04-12,2020-04-12,56.54,%,,6542,3699,48.8,%,,,126735,61850,,
66,18,http://hl7.org/fhir/uv/saner/Measure/FEMADailyHospitalCOVID19Reporting,2023-01-05T20:26:07.403+00:00,State of New Jersey,New Jersey Department of Public Health,2020-04-12,2020-04-12,56.54,%,,6542,3699,48.8,%,,,126735,61850,,
67,636,http://hl7.org/fhir/uv/saner/Measure/FEMADailyHospitalCOVID19Reporting,2023-01-05T20:26:07.403+00:00,State of New Jersey,New Jersey Department of Public Health,2020-04-12,2020-04-12,56.54,%,,6542,3699,48.8,%,,,126735,61850,,
68,1254,http://hl7.org/fhir/uv/saner/Measure/FEMADailyHospitalCOVID19Reporting,2023-01-05T20:26:07.403+00:00,State of New Jersey,New Jersey Department of Public Health,2020-04-12,2020-04-12,56.54,%,,6542,3699,48.8,%,,,126735,61850,,
69,842,http://hl7.org/fhir/uv/saner/Measure/FEMADailyHospitalCOVID19Reporting,2023-01-05T20:26:07.403+00:00,State of New Jersey,New Jersey Department of Public Health,2020-04-12,2020-04-12,56.54,%,,6542,3699,48.8,%,,,126735,61850,,
70,430,http://hl7.org/fhir/uv/saner/Measure/FEMADailyHospitalCOVID19Reporting,2023-01-05T20:26:07.403+00:00,State of New Jersey,New Jersey Department of Public Health,2020-04-12,2020-04-12,56.54,%,,6542,3699,48.8,%,,,126735,61850,,
71,1048,http://hl7.org/fhir/uv/saner/Measure/FEMADailyHospitalCOVID19Reporting,2023-01-05T20:26:07.403+00:00,State of New Jersey,New Jersey Department of Public Health,2020-04-12,2020-04-12,56.54,%,,6542,3699,48.8,%,,,126735,61850,,
72,432,http://hl7.org/fhir/uv/saner/Measure/FEMADailyHospitalCOVID19Reporting,2023-01-05T20:26:07.403+00:00,State of New Jersey,New Jersey Department of Public Health,2020-04-13,2020-04-13,100.0,%,,2734,2734,49.88,%,,,129469,64584,,
73,1462,http://hl7.org/fhir/uv/saner/Measure/FEMADailyHospitalCOVID19Reporting,2023-01-05T20:26:07.403+00:00,State of New Jersey,New Jersey Department of Public Health,2020-04-13,2020-04-13,100.0,%,,2734,2734,49.88,%,,,129469,64584,,
74,844,http://hl7.org/fhir/uv/saner/Measure/FEMADailyHospitalCOVID19Reporting,2023-01-05T20:26:07.403+00:00,State of New Jersey,New Jersey Department of Public Health,2020-04-13,2020-04-13,100.0,%,,2734,2734,49.88,%,,,129469,64584,,
75,20,http://hl7.org/fhir/uv/saner/Measure/FEMADailyHospitalCOVID19Reporting,2023-01-05T20:26:07.403+00:00,State of New Jersey,New Jersey Department of Public Health,2020-04-13,2020-04-13,100.0,%,,2734,2734,49.88,%,,,129469,64584,,
76,1050,http://hl7.org/fhir/uv/saner/Measure/FEMADailyHospitalCOVID19Reporting,2023-01-05T20:26:07.403+00:00,State of New Jersey,New Jersey Department of Public Health,2020-04-13,2020-04-13,100.0,%,,2734,2734,49.88,%,,,129469,64584,,
77,226,http://hl7.org/fhir/uv/saner/Measure/FEMADailyHospitalCOVID19Reporting,2023-01-05T20:26:07.403+00:00,State of New Jersey,New Jersey Department of Public Health,2020-04-13,2020-04-13,100.0,%,,2734,2734,49.88,%,,,129469,64584,,
78,1256,http://hl7.org/fhir/uv/saner/Measure/FEMADailyHospitalCOVID19Reporting,2023-01-05T20:26:07.403+00:00,State of New Jersey,New Jersey Department of Public Health,2020-04-13,2020-04-13,100.0,%,,2734,2734,49.88,%,,,129469,64584,,
79,638,http://hl7.org/fhir/uv/saner/Measure/FEMADailyHospitalCOVID19Reporting,2023-01-05T20:26:07.403+00:00,State of New Jersey,New Jersey Department of Public Health,2020-04-13,2020-04-13,100.0,%,,2734,2734,49.88,%,,,129469,64584,,
80,1052,http://hl7.org/fhir/uv/saner/Measure/FEMADailyHospitalCOVID19Reporting,2023-01-05T20:26:07.403+00:00,State of New Jersey,New Jersey Department of Public Health,2020-04-14,2020-04-14,41.15,%,,10305,4240,49.24,%,,,139774,68824,,
81,228,http://hl7.org/fhir/uv/saner/Measure/FEMADailyHospitalCOVID19Reporting,2023-01-05T20:26:07.403+00:00,State of New Jersey,New Jersey Department of Public Health,2020-04-14,2020-04-14,41.15,%,,10305,4240,49.24,%,,,139774,68824,,
82,434,http://hl7.org/fhir/uv/saner/Measure/FEMADailyHospitalCOVID19Reporting,2023-01-05T20:26:07.403+00:00,State of New Jersey,New Jersey Department of Public Health,2020-04-14,2020-04-14,41.15,%,,10305,4240,49.24,%,,,139774,68824,,
83,640,http://hl7.org/fhir/uv/saner/Measure/FEMADailyHospitalCOVID19Reporting,2023-01-05T20:26:07.403+00:00,State of New Jersey,New Jersey Department of Public Health,2020-04-14,2020-04-14,41.15,%,,10305,4240,49.24,%,,,139774,68824,,
84,1464,http://hl7.org/fhir/uv/saner/Measure/FEMADailyHospitalCOVID19Reporting,2023-01-05T20:26:07.403+00:00,State of New Jersey,New Jersey Department of Public Health,2020-04-14,2020-04-14,41.15,%,,10305,4240,49.24,%,,,139774,68824,,
85,1258,http://hl7.org/fhir/uv/saner/Measure/FEMADailyHospitalCOVID19Reporting,2023-01-05T20:26:07.403+00:00,State of New Jersey,New Jersey Department of Public Health,2020-04-14,2020-04-14,41.15,%,,10305,4240,49.24,%,,,139774,68824,,
86,846,http://hl7.org/fhir/uv/saner/Measure/FEMADailyHospitalCOVID19Reporting,2023-01-05T20:26:07.403+00:00,State of New Jersey,New Jersey Department of Public Health,2020-04-14,2020-04-14,41.15,%,,10305,4240,49.24,%,,,139774,68824,,
87,22,http://hl7.org/fhir/uv/saner/Measure/FEMADailyHospitalCOVID19Reporting,2023-01-05T20:26:07.403+00:00,State of New Jersey,New Jersey Department of Public Health,2020-04-14,2020-04-14,41.15,%,,10305,4240,49.24,%,,,139774,68824,,
88,1260,http://hl7.org/fhir/uv/saner/Measure/FEMADailyHospitalCOVID19Reporting,2023-01-05T20:26:07.403+00:00,State of New Jersey,New Jersey Department of Public Health,2020-04-15,2020-04-15,51.94,%,,4247,2206,49.32,%,,,144021,71030,,
89,1054,http://hl7.org/fhir/uv/saner/Measure/FEMADailyHospitalCOVID19Reporting,2023-01-05T20:26:07.403+00:00,State of New Jersey,New Jersey Department of Public Health,2020-04-15,2020-04-15,51.94,%,,4247,2206,49.32,%,,,144021,71030,,
90,1466,http://hl7.org/fhir/uv/saner/Measure/FEMADailyHospitalCOVID19Reporting,2023-01-05T20:26:07.403+00:00,State of New Jersey,New Jersey Department of Public Health,2020-04-15,2020-04-15,51.94,%,,4247,2206,49.32,%,,,144021,71030,,
91,24,http://hl7.org/fhir/uv/saner/Measure/FEMADailyHospitalCOVID19Reporting,2023-01-05T20:26:07.403+00:00,State of New Jersey,New Jersey Department of Public Health,2020-04-15,2020-04-15,51.94,%,,4247,2206,49.32,%,,,144021,71030,,
92,642,http://hl7.org/fhir/uv/saner/Measure/FEMADailyHospitalCOVID19Reporting,2023-01-05T20:26:07.403+00:00,State of New Jersey,New Jersey Department of Public Health,2020-04-15,2020-04-15,51.94,%,,4247,2206,49.32,%,,,144021,71030,,
93,230,http://hl7.org/fhir/uv/saner/Measure/FEMADailyHospitalCOVID19Reporting,2023-01-05T20:26:07.403+00:00,State of New Jersey,New Jersey Department of Public Health,2020-04-15,2020-04-15,51.94,%,,4247,2206,49.32,%,,,144021,71030,,
94,848,http://hl7.org/fhir/uv/saner/Measure/FEMADailyHospitalCOVID19Reporting,2023-01-05T20:26:07.403+00:00,State of New Jersey,New Jersey Department of Public Health,2020-04-15,2020-04-15,51.94,%,,4247,2206,49.32,%,,,144021,71030,,
95,436,http://hl7.org/fhir/uv/saner/Measure/FEMADailyHospitalCOVID19Reporting,2023-01-05T20:26:07.403+00:00,State of New Jersey,New Jersey Department of Public Health,2020-04-15,2020-04-15,51.94,%,,4247,2206,49.32,%,,,144021,71030,,
96,644,http://hl7.org/fhir/uv/saner/Measure/FEMADailyHospitalCOVID19Reporting,2023-01-05T20:26:07.403+00:00,State of New Jersey,New Jersey Department of Public Health,2020-04-16,2020-04-16,54.9,%,,7809,4287,49.61,%,,,151830,75317,,
97,850,http://hl7.org/fhir/uv/saner/Measure/FEMADailyHospitalCOVID19Reporting,2023-01-05T20:26:07.403+00:00,State of New Jersey,New Jersey Department of Public Health,2020-04-16,2020-04-16,54.9,%,,7809,4287,49.61,%,,,151830,75317,,
98,438,http://hl7.org/fhir/uv/saner/Measure/FEMADailyHospitalCOVID19Reporting,2023-01-05T20:26:07.403+00:00,State of New Jersey,New Jersey Department of Public Health,2020-04-16,2020-04-16,54.9,%,,7809,4287,49.61,%,,,151830,75317,,
99,232,http://hl7.org/fhir/uv/saner/Measure/FEMADailyHospitalCOVID19Reporting,2023-01-05T20:26:07.403+00:00,State of New Jersey,New Jersey Department of Public Health,2020-04-16,2020-04-16,54.9,%,,7809,4287,49.61,%,,,151830,75317,,
100,1468,http://hl7.org/fhir/uv/saner/Measure/FEMADailyHospitalCOVID19Reporting,2023-01-05T20:26:07.403+00:00,State of New Jersey,New Jersey Department of Public Health,2020-04-16,2020-04-16,54.9,%,,7809,4287,49.61,%,,,151830,75317,,
101,26,http://hl7.org/fhir/uv/saner/Measure/FEMADailyHospitalCOVID19Reporting,2023-01-05T20:26:07.403+00:00,State of New Jersey,New Jersey Department of Public Health,2020-04-16,2020-04-16,54.9,%,,7809,4287,49.61,%,,,151830,75317,,
102,1056,http://hl7.org/fhir/uv/saner/Measure/FEMADailyHospitalCOVID19Reporting,2023-01-05T20:26:07.403+00:00,State of New Jersey,New Jersey Department of Public Health,2020-04-16,2020-04-16,54.9,%,,7809,4287,49.61,%,,,151830,75317,,
103,1262,http://hl7.org/fhir/uv/saner/Measure/FEMADailyHospitalCOVID19Reporting,2023-01-05T20:26:07.403+00:00,State of New Jersey,New Jersey Department of Public Health,2020-04-16,2020-04-16,54.9,%,,7809,4287,49.61,%,,,151830,75317,,
104,1470,http://hl7.org/fhir/uv/saner/Measure/FEMADailyHospitalCOVID19Reporting,2023-01-05T20:26:07.403+00:00,State of New Jersey,New Jersey Department of Public Health,2020-04-17,2020-04-17,56.06,%,,5619,3150,49.84,%,,,157449,78467,,
105,234,http://hl7.org/fhir/uv/saner/Measure/FEMADailyHospitalCOVID19Reporting,2023-01-05T20:26:07.403+00:00,State of New Jersey,New Jersey Department of Public Health,2020-04-17,2020-04-17,56.06,%,,5619,3150,49.84,%,,,157449,78467,,
